PMID,CitedBy
28343867,"['39393938', '39091781', '39071886', '38985682', '38915504', '38659809', '38389787', '38363198', '38303974', '37873152', '37719050', '37503011', '37410093', '37248771', '36861201', '36747825', '36323779', '35760526', '35368306', '35148310', '35016256', '34916282', '34697385', '34619088', '34608335', '34496249', '34453151', '34363753', '34230644', '34210776', '34162691', '33897395', '33859438', '33734733', '33606361', '33510164', '33265660', '33007779', '32917862', '32779570', '32763145', '32277786', '32187527', '32149601', '32128423', '32101492', '32039761', '31831749', '31824650', '31373556', '31333432', '31251890', '31130396', '31121601', '31056352', '31048835', '31023509', '30923222', '30730888', '30728236', '30705621', '30379631', '30349104', '30279469', '30270041', '30222110', '30215597', '30209250', '30175425', '30055067', '30034250', '29976622', '29909996', '29643800', '29562172', '29522977', '29516634', '29465399', '29442559', '29431646', '29397273', '29386260', '29386117', '29354038', '29335607', '29333481', '29073649', '29073641', '28968386', '28965758']"
28343868,"['39314328', '39136572', '39038921', '39037771', '39018188', '38899521', '38857401', '38426402', '38405946', '38079351', '37936573', '37858467', '37567967', '37399398', '37251275', '36977579', '36861201', '36822467', '36661190', '36622350', '36171429', '35966203', '35831504', '35768454', '35764092', '35609789', '35568740', '35487191', '35422440', '35045320', '34955798', '34707248', '34620720', '34575237', '34529647', '34378820', '34242564', '34210776', '34195050', '34144114', '33785147', '33762729', '33609483', '33357380', '33106508', '33099611', '33061897', '32954000', '32929067', '32809246', '32415083', '32342475', '32276121', '32183249', '32077554', '31911628', '31837319', '31789536', '31766691', '31619495', '31269780', '31209114', '30940717', '30892976', '30734391', '30327591', '30318409', '30179661', '30096179', '30087844', '30031052', '30012697', '29891765', '29691421', '29358717', '29251801', '29133436', '28655882']"
28343885,[]
28343904,"['37645011', '37528088', '37514955', '35628927', '35110727', '34653748', '34604788', '34529762', '34341335', '34196388', '34001183', '33683337', '32814840', '32545521', '32405620', '32350583', '31558675', '31511250', '29388675', '29297746']"
28343909,"['39156390', '39037126', '38873601', '38596438', '38025904', '37402316', '37357312', '36922640', '36908271', '36221054', '35979256', '35892488', '35851306', '35646746', '35242653', '34956575', '34643152', '32625169', '32457854', '32116695', '30581369', '30487675', '30320046', '30056498', '29654571']"
28343940,"['39329019', '38292842', '38173207', '37969742', '37888853', '37594087', '37055530', '37024504', '36969062', '35504726', '35307036', '34956872', '34483932', '34454635', '34072267', '33925279', '33530560', '33184448', '33139956', '32759468', '32139316', '32006569', '30352966', '30017913', '29230097']"
28343960,"['39533096', '38696606', '38370121', '37965931', '37935738', '37671893', '37322077', '36803966', '35752635', '35705489', '35672377', '35355174', '35178651', '34948881', '34907323', '32714385', '29423133', '29321649', '28966571']"
28343962,"['38582783', '38503491', '37751551', '37036669', '36997155', '36639900', '36161912', '35232765', '34863960', '32916678', '32871132', '32864613', '32029359', '31356598', '30905609', '30596439', '30178573', '30012697']"
28343966,"['39413708', '38735357', '38634651', '38617238', '38602223', '38565270', '38484035', '38366616', '38195580', '38142983', '38139244', '38071352', '37989149', '37872969', '37660212', '37643163', '37627020', '37481773', '37357738', '37252645', '37174653', '37155839', '37125558', '36964220', '36854316', '36713590', '36635730', '36602864', '36593479', '36570843', '36513953', '36513717', '36406999', '36367321', '36068711', '35845604', '35831420', '35778467', '35461698', '35319791', '35179680', '35110643', '35053019', '34927581', '34897085', '34822390', '34773228', '34704277', '34543266', '34343377', '34112905', '33889597', '33833665', '33815298', '33588730', '33574181', '33559247', '33535587', '33510438', '33508151', '33406370', '33406069', '33385325', '33370457', '32915783', '32879313', '32868762', '32792412', '32768389', '32665584', '32661611', '32636383', '32285754', '32195174', '32179175', '32093736', '32075519', '32066983', '32056195', '31964686', '31914667', '31847894', '31833591', '31828740', '31798416', '31797953', '31768006', '31578625', '31530063', '31481537', '31417416', '31249487', '31236509', '31073218', '31027315', '31011692', '30906970', '30862123', '30858797', '30650649', '30630934', '30559395', '30545908', '30529823', '30487216', '30439390', '30416441', '30402923', '30390286', '30282019', '30269400', '30082421', '30041485', '29671710', '29593785', '29590612', '29560549', '29540683', '29526461', '29514087', '29487148', '29467662', '29435373', '29375400', '29311998', '29163208', '28823676']"
28343970,"['39238644', '38290250', '37424627', '34938270', '34832940', '32920591', '32634441', '31553649', '29731768']"
