PMID,CitedBy
28344197,"['38586455', '38438344', '35056964', '33302446', '31637467', '31046092']"
28344215,"['39156483', '35893624', '29350208', '28617295']"
28344214,"['39132365', '35990932', '35870904', '35866256', '34737679', '31584443', '30747368', '30694800', '29572751']"
28344218,"['36676576', '32717944', '28344256']"
28344216,['30885191']
28344219,"['38053501', '37981681', '36220848', '35701848', '35520185', '33803657', '32351779', '32103348', '31766644', '31681525', '31652533', '28592798', '28444473', '28347010', '28344246']"
28344221,"['32466305', '29594811', '28672835']"
28344217,"['38659634', '35137282', '33777448', '33547401', '28529294']"
28344220,"['39495306', '39072095', '38779389', '38420459', '37701273', '37631549', '37469505', '37188707', '37021101', '36550173', '36133448', '35557658', '35518942', '35497519', '35479448', '35479367', '34117274', '33255480', '32784384', '32015452', '31458027', '31109114', '30373300', '29789457', '29759729', '29163912', '28344234', '27047654', '26388652', '25966869']"
28344222,"['37483671', '32843897', '31807411', '31432276', '30960095', '29954106', '29596352', '28773878', '28715369', '28652642', '28435781', '28336850', '28335364', '28335234']"
28344223,"['39220689', '38419870', '37446476', '37422461', '37325015', '37056614', '36986028', '36837630', '36239396', '36157033', '36132049', '35630861', '35519202', '35516766', '35409224', '35159777', '34494631', '33585774', '33546135', '32977597', '31845299', '31635101', '30691102', '30400651', '30038398', '28344277', '26987403', '26198416']"
28344225,"['32053995', '30877399', '30642128', '28503085', '28344234', '26388652']"
28344224,"['39404272', '38789841', '37346326', '35890510', '35009971', '34629782', '34578480', '34205810', '31607583', '31316123', '30944792', '30813508', '28347022', '28344246', '26870057', '26793220']"
28344226,"['38928461', '36296878', '34684984', '28344234']"
28344227,[]
28344231,"['37177003', '35449069', '32286917', '30341734', '29962901', '28344246']"
28344230,"['37376206', '35950266', '35897812', '35744584', '34068875', '33799932', '30044386', '28344234']"
28344229,"['39000637', '31644566', '29944362', '28840196', '28347054', '28344246']"
28344233,"['37446373', '35809166', '32033480', '28344246']"
28344232,"['39456693', '37888174', '35794354', '33762529', '33577286', '33498151', '31942659', '29016287', '28959608', '28476966', '28344246']"
28344234,[]
28344235,"['34685209', '32184868', '32085453', '31579514', '31390752', '28344290', '28344246']"
28344237,"['31753369', '30823644', '28344256']"
28344238,"['35306763', '31159168']"
28344236,"['37969727', '37855967', '37214389', '36136483', '33526046', '33234159', '32824126', '32471089', '32121613', '31404327', '30464459', '30160607', '29940794', '29938576', '28344246', '27813025', '27335754']"
28344239,['26152511']
28344240,"['36233094', '32993122', '32042215', '31060287', '30563227', '30127303']"
28344241,"['34071617', '28777352', '28347094', '28344256']"
28344242,"['38930709', '30081591', '28825654', '28347115', '28344256']"
28344243,['28344256']
28344244,"['34445262', '34029010', '33748087', '28283568']"
28344245,"['37049785', '36969463', '33494400', '33218116', '33153206', '32748035', '32610509', '32503171', '32158749', '32077052', '31467820', '30072672', '29584691', '29568230', '29441265', '28900599', '27455224', '27020946']"
28344247,[]
28344246,[]
28344248,['33919771']
28344249,"['34939073', '29911196', '29719757', '29147557', '28793638', '28793547', '28235156']"
28344250,"['37514120', '37220082', '36919095', '35706676', '34464089', '33562597', '33363114', '33293809', '32760699', '28344256']"
28344252,['32649171']
28344251,"['38248935', '37762146', '36329133', '36032682', '35893556', '35108098', '33800567', '33338037', '31470576', '31268063', '30679947', '30104653', '29743480', '28672843', '28082758', '26636091']"
28344253,"['39128407', '37764285', '30718940', '30337676', '30231584', '28347094', '28347030', '28344256']"
28344254,"['39517630', '38591598', '37370578', '34833347', '31963300', '29986490', '28884369', '28816040', '28812987']"
28344255,"['38293450', '35782505', '35563507', '35558956', '35557789', '35521387', '34071341', '33467391', '30196461', '29895776', '29318045', '28451280']"
28344256,[]
28344257,"['34834232', '33727810', '31906268']"
28344258,"['37517081', '37368255', '36866251', '35881226', '35407269', '35099707', '34354987', '31994978', '31935937', '31495263', '30546039', '29723963', '29256163', '29072586']"
28344259,"['39125177', '36388459', '34502895', '31520223', '31254196', '30377872', '30306404', '30016071', '28335293', '28335253']"
28344260,"['38332833', '38250376', '37084174', '36678895', '36569956', '36382105', '36362014', '36135560', '35706935', '35530155', '35141013', '33520720', '33399488', '33390965', '32118151', '31841991', '31263767', '31173859', '30499047', '29942129', '29777137', '29744393', '29649293', '29495404', '29271927', '29182025']"
28344261,"['39337783', '28335249']"
28344263,"['34835683', '34451310']"
28344262,"['39373627', '38222505', '37764545', '36236638', '36140056', '34640898', '33352731', '33163325', '32878039', '32024126', '31174348', '30818816', '30577539', '30096855', '28775253', '28335341', '28335185']"
28344264,"['38475366', '35521191', '35479702', '34361182', '34206003', '34137960', '30225681', '30167785', '29955967', '29244756', '29036918', '28773813', '28772901', '28335185']"
28344267,"['33266063', '32882878', '32121149', '28335250']"
28344265,"['37053432', '27869768']"
28344266,"['36846656', '35847511', '34429596', '34327204', '33003520', '32596555', '28335253', '27917281']"
28344268,"['38612189', '35897524', '35329635', '34524369', '33936268', '29796430']"
28344269,"['36079386', '28335247', '28335190']"
28344270,"['37512312', '36134292', '35516201', '33375563', '32290391', '31427624', '30769899', '30486405', '30111690']"
28344271,"['35505158', '28584237', '28335191']"
28344272,[]
28344273,"['39450971', '36396122', '35957146', '33121020', '32560505', '31546659', '28335249', '28282975', '27541816']"
28344274,"['38725584', '37893717', '37560754', '37297434', '36015535', '35787693', '35326875', '34945565', '34692429', '34681488', '34359434', '34208810', '34138283', '33920623', '33061246', '31951485', '31683692', '31374930', '31304248', '30609750', '30609658', '28911604', '28865467', '28223801']"
28344275,"['38994073', '36296898', '36296795', '34947386', '32244676', '31692940', '31565294', '30023900', '29890629', '29165362', '28869543', '28490815', '28335191']"
28344276,"['35424352', '35207953', '31557924', '31458115', '29283415', '28335364', '28335233']"
28344277,"['36142748', '35497124', '32777726', '30446745', '28335185']"
28344278,"['34675235', '28335250']"
28344281,"['35655548', '28937661', '28335227']"
28344279,"['34138054', '29765674', '29642509', '28336836', '28335250']"
28344282,"['30487401', '28858229']"
28344285,"['31024896', '27911418']"
28344283,"['39565472', '39125142', '38882042', '38854931', '38783939', '38470771', '38339015', '38276519', '38006099', '37699558', '37457660', '37373461', '37367780', '37225901', '36986583', '36901762', '36901719', '36839955', '36712656', '36627516', '36312538', '36236058', '36183134', '36132845', '36042744', '35941977', '35930000', '35782505', '35497832', '35249867', '35215574', '35159921', '34924904', '34553138', '34207139', '34067587', '33809633', '33396561', '33262585', '33126681', '32899379', '32825546', '32824172', '32708823', '32408877', '32289062', '32213931', '32117928', '31612834', '31405123', '30781627', '30445705', '30322107', '30048623', '29584691', '29524008', '29491182', '29283423', '29117121', '28794934', '28335293']"
28344284,[]
28344286,"['35897526', '31457249', '30970871', '30736450', '30202456', '29973609', '29134080', '28336858']"
28344287,"['36801914', '35946164', '34590654', '33235552', '32731155', '32664364', '32009866', '31105387', '30220942', '29861817', '29776028', '29511380', '28335185', '28044355', '27863742']"
28344288,"['37998970', '36616115', '36234578', '36143658', '35529350', '33947044', '33917489', '33202709', '32582645', '30718777', '29518058', '27927981']"
28344289,"['30836627', '29370148']"
28344290,"['37437902', '36277371', '34946715', '34854455', '34095961', '32606685', '32293491', '31900181', '31557909', '30158568', '30090585', '28573455', '28337404', '28335235', '27564250']"
28344291,"['39251845', '38644723', '36770753', '33718115', '33608051', '33574922', '31642207', '31408964', '30911014', '30410712', '29290789']"
28344292,['28335273']
28344293,"['39124440', '39114135', '38689914', '36014677', '34443706', '31546631']"
28344294,"['36133194', '30832417', '28335250']"
28344295,['32121375']
28344297,"['30486405', '29439545', '28335250']"
28344296,[]
28344298,"['37764586', '35862458', '35539665', '34665530', '34201136', '34001901', '31803447', '28335191']"
28344299,"['38543001', '36769204', '36596835', '33670137', '28335249']"
28344300,"['35630984', '34064269', '31817612', '28335249']"
28344301,"['36703329', '36014740', '35423751', '35214988', '34947631', '34443053', '29057871', '28335341', '28335250']"
28344302,"['35807513', '31277350', '30366453', '29156613', '27739459']"
28344303,['28774141']
28344304,"['37332811', '36015625', '35624312', '35541308', '35252731', '33668966', '32632474', '31721139', '30965936', '30960368', '30691023', '29086156', '28783071']"
28344305,"['38817429', '37280473', '37274111', '35865990', '35213967', '34073974', '33805917', '32545909', '30966109']"
28344306,"['36941596', '34827271', '34130841', '33429956', '32274591', '31430858', '28335235']"
28344307,"['38099967', '37623718', '35161341', '34113600', '33066193', '32866832', '32824795', '32486281', '32309695', '31684189', '31178844', '29928271', '29673162', '28335235']"
28344308,"['39349639', '38998709', '38611891', '38338355', '38067548', '37947912', '37906403', '37764614', '36793300', '36555226', '36430177', '36406570', '36364562', '36112056', '35817408', '35744951', '35530201', '35498941', '35424028', '34208402', '33916987', '33800457', '33266509', '31948078', '31905739', '31779097', '31540252', '31540152', '31459493', '31157213', '30783138', '30639850', '30544904', '29568060']"
28344309,"['37841169', '35516325', '34945354', '31717979', '30037121', '29747451', '29690503', '28335273', '27826524']"
28344311,"['39423330', '38103178', '37576870', '36177244', '34563034', '32927875', '32847150', '31418555', '31242715', '30263883', '29882877', '29364160', '29147712']"
28344310,"['39339349', '37049731', '36033709', '35889270', '34578555', '30533584', '30513941', '29789457', '29757998', '28335250', '28335246']"
28344312,['38805170']
28344313,"['36311244', '34598689', '32874060', '31364611']"
28344314,"['35697713', '35155437', '34733817', '34628942', '33840894', '31138823']"
28344315,"['39337590', '38102461', '38002311', '37849664', '37794800', '37669941', '37510072', '37445974', '37105956', '36900317', '36765932', '36747663', '36612296', '36547163', '36480501', '36454786', '36158640', '36046090', '35954459', '35505341', '35340765', '35309815', '34573876', '34556161', '34489930', '34455753', '34414281', '34299097', '33833982', '33585226', '33409501', '32581232', '32094357', '31819067', '31687002', '31611552', '31595039', '31484774', '30813402', '30096165', '30013559', '29399440', '29311715', '29279332', '29258207', '29247535', '28889371']"
28344320,"['36424441', '35293568', '34733107', '33139859', '32821971', '32487805', '32061923', '29130939']"
28344322,"['39396024', '39210410', '38892011', '38640324', '38322838', '38036934', '38026693', '37762063', '36771140', '36639999', '36615471', '36465185', '36203933', '36175900', '34830390', '34344394', '33967801', '33953586', '33708118', '33706619', '33274210', '33221744', '32420361', '32292717', '31966615', '31897229', '31803542', '31675186', '31408938', '30954075', '30154417', '29713279', '28956809', '28933423']"
28344323,"['39487553', '39444611', '39435417', '39220591', '39188653', '39156976', '39152108', '39129290', '39125994', '39122708', '39034442', '38990489', '38974015', '38883844', '38859849', '38808552', '38761292', '38675487', '38675228', '38666534', '38651414', '38650929', '38644503', '38613722', '38609562', '38582885', '38527038', '38467904', '38424041', '38414954', '38393520', '38312647', '38303702', '38273295', '38239395', '38213177', '38188646', '38140031', '38111065', '38075204', '38036507', '37958451', '37936097', '37901764', '37686291', '37663938', '37644370', '37569598', '37538858', '37529099', '37525693', '37511503', '37492786', '37484562', '37444551', '37435488', '37391845', '37389061', '37351514', '37324455', '37298320', '37296859', '37202772', '37124157', '37120619', '37103469', '36980210', '36969694', '36900050', '36899352', '36845390', '36777871', '36777498', '36765890', '36762548', '36707511', '36698167', '36685294', '36675137', '36670097', '36660927', '36658602', '36635256', '36583742', '36556493', '36551730', '36539659', '36523305', '36432116', '36429040', '36330204', '36304510', '36285158', '36233276', '36230472', '36176764', '36164573', '36164346', '36105219', '36071851', '36052168', '36011286', '36011021', '35975971', '35972579', '35941582', '35909906', '35907976', '35875091', '35858925', '35837205', '35833031', '35754499', '35747750', '35745837', '35745636', '35692750', '35677156', '35656302', '35631331', '35600879', '35592706', '35571528', '35568782', '35473892', '35454789', '35440025', '35415236', '35401182', '35392237', '35388357', '35387955', '35337128', '35287706', '35277179', '35267513', '35216404', '35203285', '35165511', '35154461', '35126712', '35061544', '34980140', '34970553', '34956857', '34955823', '34950583', '34926286', '34917132', '34884875', '34765572', '34737677', '34707117', '34650055', '34638401', '34608122', '34532137', '34522449', '34513717', '34513674', '34502289', '34445353', '34445279', '34445133', '34434267', '34429598', '34421602', '34419152', '34408545', '34381736', '34367979', '34366628', '34359714', '34307151', '34307125', '34272356', '34249768', '34238297', '34230478', '34208001', '34207224', '34201326', '34199429', '34199025', '34194500', '34154657', '34099013', '34076140', '34040370', '34013363', '34001851', '33995632', '33982772', '33949239', '33947048', '33925488', '33897895', '33867349', '33859758', '33838671', '33808444', '33801424', '33757557', '33746755', '33708237', '33681180', '33628103', '33553331', '33490189', '33478577', '33455945', '33442539', '33390845', '33379356', '33365081', '33304784', '33294448', '33250518', '33204699', '33202899', '33176070', '33163195', '33126560', '33123581', '33117354', '33097691', '33077406', '33062407', '32982405', '32898239', '32863904', '32821157', '32801751', '32801748', '32755957', '32650537', '32631382', '32627034', '32566073', '32549224', '32547320', '32518599', '32509395', '32466563', '32462038', '32461962', '32461380', '32461187', '32353381', '32279388', '32244867', '32132869', '32063720', '32053964', '32000827', '31942558', '31936661', '31921690', '31905887', '31903165', '31881007', '31839741', '31835431', '31819482', '31816897', '31807558', '31799201', '31754201', '31746344', '31728916', '31695406', '31686840', '31682895', '31659110', '31632530', '31619257', '31611551', '31569821', '31511501', '31392101', '31341646', '31235746', '31152681', '31149049', '31125347', '30959553', '30942464', '30914455', '30881018', '30573522', '30555243', '30405889', '30349375', '30315182', '30311444', '30286728', '30271172', '30214300', '30127933', '29970890', '29928445', '29928420', '29916268', '29849464', '29770798', '29717775', '29636994', '29632641', '29552141', '29423044', '29331886', '29207653', '29190981', '29184856', '29117859', '29072691', '28849216', '28792132']"
28344321,"['39396053', '35752254', '35327503', '34959554', '34721393', '34683904', '34632460', '34592709', '34478733', '34367893', '33825470', '33597220', '33173865', '33082259', '32956394', '32047132', '32037447', '31951396', '31293570', '31268705', '30824796', '30816690', '30169965', '29566184', '29212939', '29088094', '28988778', '28714870']"
28344325,"['39144497', '39144493', '37336945', '36160859', '35382009', '33658693', '32665765', '30890095', '30746684', '29244845', '29212727', '28861006']"
28344326,"['34168194', '33244025', '31827224', '30518099', '30451945', '30443582', '30361555', '29934627', '28453640']"
28344324,"['39403128', '38786044', '38448410', '38276538', '37359553', '36858050', '36712679', '36302621', '35963853', '35770084', '35582013', '35415350', '34768841', '34361037', '34070502', '33776489', '33390834', '32679751', '32443774', '31963129', '31258784', '30783417', '30416940', '29866191', '28788092']"
28344327,"['39295976', '39202963', '38927335', '38711272', '38424304', '38396837', '38357769', '38100464', '38030791', '38022815', '37958442', '37896183', '37835481', '37760764', '37713487', '37626743', '37568764', '37511924', '37190124', '37057874', '36853269', '36829578', '36803614', '36590644', '36275615', '36039737', '35955474', '35740586', '35168393', '35122635', '34959621', '34818551', '34583981', '34536148', '34451823', '34303383', '33755601', '33718194', '33358111', '33070276', '33044904', '32731382', '32368502', '32365781', '32218162', '31941010', '31452046', '31319483', '31181660', '31114376', '30474639', '30416757', '30396151', '30275982', '30034619', '29872511', '29725262', '29286165']"
28344331,"['39440144', '28963536']"
28344334,"['37431882', '36710932', '35735904', '34638976', '33404278', '33071754', '32294447', '30210525', '28925357']"
28344333,"['39421460', '36532381', '35216112', '35138584', '34576833', '34217915', '34104352', '33919545', '33219314', '33114008', '32258072', '31552024', '31430948', '31417554', '31252674', '30824791', '30540706', '30258412', '30066368', '29742146', '29725324']"
28344332,"['38099002', '37185698', '35563757', '35326452', '34183762', '33923344', '32964376', '32175577', '31461973', '30388025', '29785535', '29523096', '28507987']"
28344335,"['39354058', '39352927', '39052678', '39025978', '38899870', '38847071', '38723016', '38456038', '38396042', '38343548', '38193304', '38173147', '37679361', '37647451', '37504520', '37469130', '37467282', '37213507', '37192162', '37167605', '37078858', '36972304', '36589893', '36249860', '36016458', '36006890', '35982676', '35926224', '35877681', '35831293', '35746775', '35744528', '35471490', '35100294', '35044216', '34452521', '34452416', '34448455', '33916924', '33875348', '33843575', '33635877', '33507606', '33314755', '33268526', '33044658', '33024309', '32994342', '32962304', '32961778', '32471165', '32153750', '32152244', '31776280', '31649895', '31629602', '31553305', '31451775', '31310875', '31160783', '31137516', '31084711', '30918081', '30866786', '30102740', '30079062', '29615508', '29118122']"
28344336,[]
28344337,"['39064902', '38902301', '38877030', '38731495', '38541599', '38463862', '38323142', '38129414', '38076057', '37809023', '37720717', '37570581', '37497085', '37151643', '36994364', '36934198', '36771818', '36658693', '36616535', '36615488', '36559863', '36365653', '36363365', '36363278', '36354492', '36234405', '36134319', '36012467', '35897611', '35683743', '35683657', '35540581', '35480749', '35323450', '35265765', '34908830', '34640898', '34578585', '34576618', '34443100', '34442900', '34221325', '33842745', '33494537', '33050330', '32585991', '32486101', '32316345', '31788627', '31460366', '31458608', '31165024', '31109135', '31016404', '30736450', '30631108', '28821778', '28703757']"
28344338,"['37513835', '37396855', '36779991', '34212148', '33643825', '32690772', '32080235', '31646087']"
28344339,"['38131377', '38006429', '37154775', '36597408', '36429006', '35246252', '34616498', '34610795', '34439196', '34160798', '32863950', '31886217', '31873113', '31527706', '31366376', '31253147', '30709035', '29436261', '29373522', '29209299', '29053596']"
28344341,"['39524724', '38654290', '38432321', '38015716', '37199034', '37191809', '37042179', '36303776', '36266635', '36105808', '35544644', '35404956', '35348650', '35163789', '35061901', '34873462', '34456634', '34283720', '34249108', '33836681', '33803328', '33802234', '33761980', '33217316', '33211847', '32770109', '32047515', '31729408', '31619755', '31572684', '31217847', '31191638', '31118955', '31047772', '30961357', '30891064', '30715320', '30505984', '30485129', '30356138', '30297789', '30153342', '30134812', '30102398', '29941230', '29908887', '29716986', '29636881', '29533785', '29347918', '28422313']"
28344344,"['39005367', '36849657', '35326534', '35186441', '34749812', '34572946', '33831375', '33730105', '33577569', '31345216', '31113818', '31035962', '30177804', '29912864', '28871446']"
28344345,"['39063215', '39010180', '38338746', '37736899', '37686149', '37175831', '36982991', '36910147', '36422274', '35938852', '35552682', '35127127', '35120179', '35037057', '34199293', '34080281', '33112812', '33111214', '32739864', '31359343', '30953518', '30503831', '29721017', '29670886', '29200427']"
28344346,"['39097911', '38367985', '38273331', '37998335', '37328884', '36313760', '35769625', '35650312', '34629054', '33210046', '32902722', '32517699', '31896803', '31859264', '31767019', '30340399', '29434244', '29235067', '28884026']"
28344349,"['39229203', '38896469', '38699329', '38555507', '38331392', '38301115', '38265689', '38073154', '38054641', '37974398', '37965550', '37808635', '37757589', '37695774', '37529285', '37364107', '37348142', '37336577', '37333859', '37242908', '37144969', '37012050', '37009215', '37000776', '36896805', '36468683', '36394015', '36376406', '36226960', '36165617', '35960807', '35951307', '35897698', '35791875', '35783388', '35736300', '35593133', '35500111', '35484403', '35452314', '35423551', '35216173', '34944039', '34912849', '34862033', '34725341', '34669478', '34386726', '34100714', '34081430', '33897977', '33893111', '33805612', '33771157', '33679676', '33665382', '33523159', '33287299', '33083729', '32990592', '32849357', '32349767', '32242019', '32154954', '31969391', '31921013', '31827466', '31770461', '31632983', '31534136', '31401928', '30833357', '30739016', '30674920', '30483513', '30405586', '30370341', '30097444', '30074984', '30030232', '30007414', '29870243', '29844352', '29753778', '29565833', '29394244', '29206456', '29185136', '29154755', '28607089', '28494963']"
28344348,"['39556570', '39480081', '39430103', '39419835', '39372678', '39359892', '39322808', '39315802', '39277594', '39066800', '39045888', '39027336', '38963481', '38947835', '38927029', '38888334', '38819154', '38816572', '38752746', '38743623', '38696719', '38671539', '38664541', '38647608', '38599632', '38572104', '38466754', '38466137', '38405924', '38362914', '38349033', '38323345', '38261537', '38260349', '38260206', '38249101', '38230926', '38169461', '38112899', '38104967', '38084999', '38054971', '38054753', '37994787', '37968459', '37968387', '37938298', '37894220', '37804185', '37794032', '37723610', '37681985', '37630560', '37615783', '37538349', '37507159', '37458582', '37398167', '37373138', '37371954', '37314346', '37304277', '37292672', '37212983', '37192898', '37140386', '37137890', '37117903', '37090602', '37010721', '37010421', '37002859', '36930643', '36912636', '36852066', '36838347', '36830250', '36815770', '36806680', '36768426', '36752862', '36748638', '36661842', '36656032', '36617571', '36613858', '36598285', '36572723', '36564025', '36518170', '36502919', '36482737', '36472780', '36458223', '36445594', '36431459', '36424517', '36416561', '36363817', '36345757', '36338064', '36287893', '36284406', '36278649', '36188007', '36144380', '36124565', '36118216', '36071967', '36070162', '36053980', '36052165', '36009992', '35996475', '35980185', '35953826', '35939512', '35933462', '35911964', '35903545', '35887033', '35880611', '35865816', '35862763', '35862444', '35852360', '35846739', '35800897', '35711754', '35700143', '35695507', '35674440', '35666003', '35646721', '35638819', '35589928', '35563357', '35457194', '35427920', '35404113', '35385189', '35377187', '35330768', '35326791', '35311566', '35308343', '35231068', '35164567', '35163324', '35095796', '35080431', '35042817', '34925279', '34795653', '34795435', '34788072', '34763208', '34690984', '34650527', '34632243', '34581604', '34558234', '34556817', '34494879', '34442707', '34378993', '34378953', '34370555', '34343021', '34279493', '34194836', '34191587', '34097790', '34037759', '34025596', '34011683', '33959389', '33914998', '33865868', '33840082', '33791837', '33722846', '33717488', '33714882', '33672822', '33671781', '33651131', '33635895', '33604084', '33568151', '33526568', '33525750', '33454001', '33444370', '33425244', '33420409', '33392192', '33324382', '33230153', '33202537', '33104697', '33096143', '33034093', '32962054', '32862758', '32820200', '32796547', '32793173', '32765465', '32728125', '32722260', '32625179', '32582041', '32561588', '32558268', '32551492', '32477311', '32467170', '32426592', '32390963', '32285801', '32266230', '32251582', '32238765', '32198646', '32196485', '32188750', '32188055', '32149296', '32142916', '32121191', '32117124', '32086169', '31992628', '31964700', '31930742', '31882536', '31857375', '31818924', '31738781', '31736923', '31685536', '31681235', '31649262', '31608037', '31586033', '31326221', '31289182', '31273981', '31267180', '31247859', '31239353', '31217292', '31187912', '31181755', '31132310', '31006999', '30969406', '30808698', '30759803', '30753183', '30692683', '30687290', '30619221', '30619128', '30582886', '30545417', '30477188', '30459190', '30403291', '30382110', '30377275', '30358795', '30339218', '30210482', '30186242', '30135366', '30123206', '30065712', '30013281', '29928267', '29805037', '29776370', '29764564', '29666254', '29628916', '29531038', '29390127', '29375521', '29280348', '29203664', '29192165', '29043347', '28840318', '28604884']"
28344354,"['39071622', '38794746', '37728477', '37371642', '36687556', '36311721', '35975032', '35969010', '35763686', '35656103', '35624737', '35203939', '35008971', '34968229', '34804028', '34512154', '34488930', '34373444', '33955828', '33922725', '33772465', '33362555', '33187986', '32413049', '32117228', '32034213', '31676122', '30782202', '30692512', '30464573', '30400352', '30262728', '29755698', '29691366', '29607455', '29603600', '29498635', '29233541']"
28344355,"['38623521', '38132305', '32470080', '31705024', '30362039']"
28344358,"['36247654', '34390482']"
28344359,"['39472890', '38026044', '37289482', '37261886', '37079370', '36943932', '36661561', '36377370', '36118170', '36066960', '35699993', '35449503', '35436234', '35363145', '34989683', '34982717', '34951604', '34599181', '34468950', '34447770', '34262408', '34152277', '33828118', '33827552', '33670507', '33598906', '33465730', '33256732', '33043127', '33006941', '32823298', '32821063', '32734159', '32620167', '31614749', '31431005', '31411146', '31201201', '30990458', '30804534', '30445467', '30154073', '29969726', '29691216', '29681040', '29628528', '29238444', '29139070', '28405896', '28155206']"
28344360,"['37341951', '36968190', '36205849', '33245357', '32980977', '32082049', '25417433']"
28344357,"['39274769', '39119888', '38815170', '38470982', '35303136', '35221487', '34482449', '34242405', '33614399', '32999844', '32525656', '32210555', '32105448', '32055433', '31964143', '31790090', '31745742', '30796217', '30049820', '29739927', '28513577', '27472011']"
28344361,"['39081854', '39022544', '38480800', '36630151', '36614033', '36551148', '36387488', '36354956', '36133469', '35582214', '34361223', '34277579', '34070326', '33269596', '33023102', '32793585', '32204428', '31290325', '31181619', '29917033', '29396456', '29373504', '28724919', '28389652']"
28344362,"['39198950', '38716324', '34675512']"
28344363,['31336226']
28344364,[]
28344365,"['38323045', '38179492', '37171685', '37134094', '37056236', '36936085', '36919096', '36696384', '36451222', '36092115', '36068368', '35548498', '35250784', '34620156', '34321858', '30356822', '29200508']"
28344367,[]
28344368,"['39483877', '39341841', '39005494', '38718080', '38670606', '37946157', '37587939', '35989721', '35171067', '34720111', '34305222', '34295009', '33912094', '33776142', '33603593', '33488269', '33470187', '32006265']"
28344369,"['37842069', '35390004', '33310344']"
28344366,[]
28344371,"['35372833', '33151150', '32214778', '31959782', '31179156', '29770249', '28968677', '27814971']"
28344372,"['36061701', '28406634']"
28344373,"['38356022', '35692437']"
28344375,['27660397']
28344374,"['30668455', '30009769', '29885327']"
28344376,[]
28344370,"['38456141', '36745863', '36647196', '32368793', '31849758', '30892949', '30620111']"
28344378,"['38197006', '37788703', '37751161', '37724664', '37111853', '36792891', '36371789', '36059242', '35655126', '35531307', '34795549', '33365042', '32674148', '30880349', '30609161', '30224679', '29531220', '29093225', '28982152']"
28344379,"['33973498', '26729237']"
28344380,"['36337546', '34567967', '28553655']"
28344381,"['38755730', '38493429', '34027060']"
28344383,"['39298286', '39204498', '37629884', '35458365', '32967360', '32255242', '28218704']"
28344382,"['33287292', '28885155', '27271634', '26913092', '23979481']"
28344384,['34308076']
28344385,['31429197']
28344386,"['38091206', '36860786', '35782041', '33716840', '30237775']"
28344388,"['37036620', '36005496', '34829118', '33801636', '28717022']"
28344389,"['36557571', '32575616']"
28344387,"['39055009', '38425928', '38033909', '37553344', '37289104', '36093011', '34987834', '34377392', '33717018', '33110907', '32914919', '32364373', '31213945', '31165063', '31083988', '30668108', '30403226', '30250000', '29957940', '29663542', '29629752', '28414226']"
28344390,"['38472428', '36864186', '35805373', '35132911', '33499398', '32146673', '31137560', '30809828']"
28344391,"['39330294', '38731728', '38667796', '38162757', '37388856', '37233470', '35563924', '35206049', '34564162', '32344706', '31895988']"
28344392,"['38931121', '34451567']"
28344394,"['36016774', '35080698', '31453172', '29670605']"
28344397,"['33642796', '32255967']"
28344396,['38849831']
28344395,"['39372358', '37106847', '35993060', '35265313', '34604602', '34275958', '33922826']"
28344398,"['34582026', '33986845']"
28344399,"['39005778', '38868279', '38667770', '38284062', '37429892', '36766163', '35877478', '35845419', '35735923', '35403519', '34202687', '33602952', '33585430', '33546282', '33498661', '33322826', '33312618', '33062011', '32158631', '31151328']"
28344401,[]
28344400,['32055221']
28344402,"['34980121', '34297222', '33498295', '32274680', '30159367', '29184367']"
28344404,"['38269362', '35754844', '34079831', '33178293']"
28344405,"['39411484', '36225802', '36205598', '34833114', '34540929', '34068214', '32731547', '32206229', '31528044', '30291684', '30034181', '28771486']"
28344403,"['39518845', '39363333', '38807739', '38708768', '38532402', '37929289', '37855713', '37583631', '37375517', '37073245', '36548685', '36341067', '35803982', '35692483', '35369577', '35215126', '34988670', '34540160', '34254567', '34055282', '33856533', '33575600', '33404940', '32764264', '32095611', '32095054', '31881926', '31849410', '31801311', '31559938', '31498820', '31406398', '30838195', '30767889', '30254613', '29458421', '29062190']"
28344406,"['38903617', '34729085', '32266027', '30532495', '30008135']"
28344407,"['39077447', '38703309', '36435954', '35400969', '34458932', '33921030', '31359353']"
28344409,"['38680156', '38114542', '37048452', '33061242', '32529792', '32219108', '30706772', '29915499', '29184360']"
28344410,['31528048']
28344408,"['39128068', '38338414', '37103134', '36830249', '36670896', '36297324', '35966725', '34804730', '33233581', '32178659', '31516358', '31439997', '29657429', '29511465', '29382105']"
28344412,"['39338994', '38392867', '36669021', '36552379', '33059758', '29254723']"
28344411,"['34827365', '33997341', '32734084', '31528735', '30167488']"
28344413,"['39281460', '38292728', '36295008', '29748799']"
28344414,"['39421080', '39333219', '39219967', '39077185', '39070222', '39011439', '38939459', '38041702', '37815685', '37614687', '37123629', '37079054', '37046577', '36922405', '36826542', '36704465', '36505382', '35505074', '34359361', '33919794', '32997297', '32558395', '30866698', '29167621']"
28344415,"['32425437', '31371899', '30220039']"
28344416,"['39196518', '38532822', '37229343', '36911546', '36440253', '35629098', '35498011', '35488204', '34916560', '34104088', '33976505', '33235417', '32952353', '32924330', '32425439', '32201463', '31879509', '31879508', '31615409', '31371902', '31249457', '30782685', '30109593', '29844646', '29643701']"
